img_name,img_class
forest_963.jpg,forest
water_274.jpg,water
forest_2307.jpg,forest
forest_892.jpg,forest
desert_532.jpg,desert
desert_362.jpg,desert
forest_2722.jpg,forest
desert_809.jpg,desert
cloudy_15830.jpg,cloudy
desert_525.jpg,desert
desert_924.jpg,desert
cloudy_7096.jpg,cloudy
water_1222.jpg,water
forest_215.jpg,forest
water_332.jpg,water
forest_2836.jpg,forest
water_976.jpg,water
forest_2819.jpg,forest
desert_735.jpg,desert
forest_2929.jpg,forest
cloudy_17769.jpg,cloudy
cloudy_25337.jpg,cloudy
forest_643.jpg,forest
cloudy_37175.jpg,cloudy
cloudy_23490.jpg,cloudy
cloudy_14060.jpg,cloudy
forest_495.jpg,forest
forest_2832.jpg,forest
cloudy_10710.jpg,cloudy
water_350.jpg,water
desert_931.jpg,desert
water_1409.jpg,water
water_1720.jpg,water
desert_628.jpg,desert
water_1840.jpg,water
forest_66.jpg,forest
desert_651.jpg,desert
forest_2047.jpg,forest
cloudy_36735.jpg,cloudy
water_2763.jpg,water
water_787.jpg,water
water_303.jpg,water
water_44.jpg,water
water_693.jpg,water
cloudy_860.jpg,cloudy
water_786.jpg,water
forest_2950.jpg,forest
desert_867.jpg,desert
desert_661.jpg,desert
forest_1404.jpg,forest
cloudy_4256.jpg,cloudy
forest_2973.jpg,forest
water_161.jpg,water
water_983.jpg,water
desert_561.jpg,desert
cloudy_1717.jpg,cloudy
cloudy_13602.jpg,cloudy
forest_697.jpg,forest
cloudy_38032.jpg,cloudy
cloudy_39813.jpg,cloudy
cloudy_17513.jpg,cloudy
cloudy_11325.jpg,cloudy
water_2941.jpg,water
forest_2347.jpg,forest
cloudy_17505.jpg,cloudy
water_1829.jpg,water
forest_68.jpg,forest
water_2225.jpg,water
cloudy_36564.jpg,cloudy
cloudy_25626.jpg,cloudy
water_917.jpg,water
water_580.jpg,water
cloudy_29680.jpg,cloudy
desert_467.jpg,desert
water_997.jpg,water
desert_865.jpg,desert
cloudy_26600.jpg,cloudy
cloudy_6856.jpg,cloudy
forest_802.jpg,forest
cloudy_33510.jpg,cloudy
water_70.jpg,water
cloudy_11240.jpg,cloudy
forest_688.jpg,forest
water_1444.jpg,water
forest_592.jpg,forest
desert_297.jpg,desert
water_1563.jpg,water
cloudy_31239.jpg,cloudy
desert_1033.jpg,desert
cloudy_5670.jpg,cloudy
cloudy_22027.jpg,cloudy
water_1549.jpg,water
desert_597.jpg,desert
desert_544.jpg,desert
forest_188.jpg,forest
water_1237.jpg,water
forest_357.jpg,forest
cloudy_8742.jpg,cloudy
water_1214.jpg,water
forest_2002.jpg,forest
forest_2087.jpg,forest
forest_2279.jpg,forest
forest_792.jpg,forest
forest_2125.jpg,forest
desert_457.jpg,desert
water_245.jpg,water
desert_131.jpg,desert
cloudy_15012.jpg,cloudy
desert_955.jpg,desert
forest_210.jpg,forest
forest_1979.jpg,forest
forest_2804.jpg,forest
forest_898.jpg,forest
desert_310.jpg,desert
water_1810.jpg,water
forest_2214.jpg,forest
cloudy_1483.jpg,cloudy
cloudy_19085.jpg,cloudy
cloudy_39334.jpg,cloudy
forest_858.jpg,forest
cloudy_7656.jpg,cloudy
cloudy_38467.jpg,cloudy
water_1554.jpg,water
forest_221.jpg,forest
cloudy_36935.jpg,cloudy
forest_969.jpg,forest
cloudy_31892.jpg,cloudy
desert_118.jpg,desert
forest_1549.jpg,forest
cloudy_36687.jpg,cloudy
forest_2851.jpg,forest
forest_2980.jpg,forest
forest_2219.jpg,forest
desert_630.jpg,desert
cloudy_15469.jpg,cloudy
desert_682.jpg,desert
cloudy_34163.jpg,cloudy
forest_911.jpg,forest
water_443.jpg,water
desert_1045.jpg,desert
desert_186.jpg,desert
desert_190.jpg,desert
desert_244.jpg,desert
water_649.jpg,water
desert_1065.jpg,desert
cloudy_31030.jpg,cloudy
forest_2163.jpg,forest
water_841.jpg,water
water_729.jpg,water
cloudy_12975.jpg,cloudy
cloudy_18646.jpg,cloudy
water_1769.jpg,water
forest_371.jpg,forest
forest_295.jpg,forest
cloudy_7675.jpg,cloudy
forest_1638.jpg,forest
forest_504.jpg,forest
forest_2286.jpg,forest
cloudy_14869.jpg,cloudy
cloudy_35499.jpg,cloudy
forest_598.jpg,forest
water_1916.jpg,water
cloudy_3542.jpg,cloudy
desert_882.jpg,desert
cloudy_14198.jpg,cloudy
desert_978.jpg,desert
water_1429.jpg,water
forest_833.jpg,forest
desert_934.jpg,desert
forest_2109.jpg,forest
water_1366.jpg,water
cloudy_4438.jpg,cloudy
desert_701.jpg,desert
water_922.jpg,water
forest_1980.jpg,forest
forest_2881.jpg,forest
cloudy_21804.jpg,cloudy
cloudy_10451.jpg,cloudy
desert_914.jpg,desert
water_687.jpg,water
desert_328.jpg,desert
water_293.jpg,water
desert_851.jpg,desert
cloudy_1550.jpg,cloudy
water_1884.jpg,water
forest_541.jpg,forest
desert_272.jpg,desert
cloudy_8765.jpg,cloudy
forest_2314.jpg,forest
desert_774.jpg,desert
forest_990.jpg,forest
water_2960.jpg,water
forest_1456.jpg,forest
desert_91.jpg,desert
water_2385.jpg,water
cloudy_38757.jpg,cloudy
desert_419.jpg,desert
desert_130.jpg,desert
forest_2989.jpg,forest
cloudy_15364.jpg,cloudy
desert_784.jpg,desert
desert_1062.jpg,desert
forest_42.jpg,forest
desert_1077.jpg,desert
cloudy_5680.jpg,cloudy
cloudy_12089.jpg,cloudy
forest_2273.jpg,forest
forest_769.jpg,forest
forest_2076.jpg,forest
cloudy_24490.jpg,cloudy
water_995.jpg,water
forest_914.jpg,forest
forest_69.jpg,forest
forest_2187.jpg,forest
forest_493.jpg,forest
water_1665.jpg,water
desert_148.jpg,desert
forest_345.jpg,forest
forest_2103.jpg,forest
desert_368.jpg,desert
desert_811.jpg,desert
desert_885.jpg,desert
water_1692.jpg,water
cloudy_14978.jpg,cloudy
desert_988.jpg,desert
cloudy_4603.jpg,cloudy
water_1049.jpg,water
cloudy_23636.jpg,cloudy
forest_2296.jpg,forest
forest_432.jpg,forest
